GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,target
2003-11-08,2003,1610612748,1610612750,0.341,0.762,0.4379999999999999,15.0,40.0,0.4579999999999999,0.81,0.455,17.0,45.0,0
2003-11-08,2003,1610612745,1610612753,0.45,0.682,0.409,21.0,51.0,0.405,0.75,0.444,19.0,35.0,1
2003-11-08,2003,1610612739,1610612764,0.524,0.677,0.25,30.0,42.0,0.449,0.667,0.25,22.0,38.0,1
2003-11-08,2003,1610612759,1610612742,0.325,0.8079999999999999,0.188,15.0,49.0,0.4,0.5329999999999999,0.25,18.0,45.0,0
2003-11-09,2003,1610612765,1610612751,0.4379999999999999,0.758,0.3,25.0,41.0,0.4320000000000001,0.75,0.222,25.0,37.0,1
2003-11-09,2003,1610612761,1610612743,0.487,0.769,0.385,25.0,41.0,0.347,0.846,0.286,11.0,39.0,1
2003-11-09,2003,1610612738,1610612758,0.434,0.75,0.267,17.0,52.0,0.356,0.632,0.316,26.0,42.0,1
2003-11-09,2003,1610612755,1610612754,0.417,0.75,0.25,14.0,29.0,0.4589999999999999,0.75,0.357,24.0,45.0,0
2003-11-09,2003,1610612760,1610612737,0.379,0.737,0.0559999999999999,12.0,46.0,0.479,0.789,0.5329999999999999,16.0,41.0,0
2003-11-10,2003,1610612763,1610612747,0.488,0.7140000000000001,0.375,26.0,42.0,0.44,0.667,0.412,20.0,43.0,1
2003-11-10,2003,1610612741,1610612743,0.506,0.75,0.273,28.0,42.0,0.379,0.805,0.462,22.0,48.0,0
2003-11-10,2003,1610612744,1610612756,0.45,0.68,0.292,21.0,41.0,0.488,0.778,0.455,22.0,45.0,0
2003-11-10,2003,1610612739,1610612752,0.444,0.895,0.556,29.0,49.0,0.4029999999999999,0.917,0.4379999999999999,21.0,34.0,1
2003-11-10,2003,1610612759,1610612762,0.4429999999999999,0.636,0.3329999999999999,20.0,38.0,0.408,0.818,0.25,18.0,43.0,1
2003-11-11,2003,1610612746,1610612737,0.4639999999999999,0.8640000000000001,0.462,21.0,45.0,0.5429999999999999,0.952,0.389,25.0,30.0,1
2003-11-11,2003,1610612754,1610612738,0.412,0.789,0.455,19.0,42.0,0.413,0.462,0.462,24.0,44.0,0
2003-11-11,2003,1610612750,1610612760,0.434,0.7140000000000001,0.5,23.0,34.0,0.452,0.8420000000000001,0.35,21.0,41.0,0
2003-11-11,2003,1610612764,1610612755,0.46,0.667,0.368,20.0,50.0,0.45,0.857,0.5,22.0,41.0,0
2003-11-11,2003,1610612757,1610612761,0.456,0.667,0.429,21.0,45.0,0.414,0.654,0.357,24.0,29.0,1
2003-11-11,2003,1610612742,1610612740,0.581,0.8,0.474,40.0,45.0,0.481,0.7,0.35,19.0,30.0,1
2003-11-11,2003,1610612758,1610612765,0.481,0.68,0.308,29.0,46.0,0.397,0.7709999999999999,0.286,9.0,47.0,1
